edad,c220-c249m,c340-c349m,c500-c509m,c530-c55Xm,c900-c959Xm
0,19,4,6,1,90
1,41,5,1,1,156
2,40,1,1,3,197
3,27,4,1,5,253
4,21,3,2,6,255
5,10,5,1,8,307
6,8,1,10,18,267
7,9,2,11,24,256
8,7,4,17,24,259
9,12,1,24,40,260
10,3,1,23,56,242
11,3,3,39,67,261
12,4,4,62,97,298
13,8,5,61,112,293
14,9,3,82,129,325
15,13,5,107,135,354
16,12,8,108,160,351
17,11,4,157,198,363
18,9,12,172,250,387
19,15,13,194,258,348
20,18,13,240,244,309
21,14,21,242,266,334
22,14,16,354,291,289
23,18,20,362,337,267
24,22,26,394,334,259
25,22,27,458,393,256
26,13,20,470,410,211
27,19,32,575,444,219
28,26,22,584,413,193
29,23,35,646,502,199
30,26,47,671,490,183
31,30,38,664,515,207
32,52,54,693,513,182
33,41,56,814,509,197
34,46,59,753,570,221
35,45,59,782,578,195
36,65,67,861,550,194
37,66,88,853,599,197
38,92,73,927,560,199
39,88,108,896,642,211
40,104,116,876,624,200
41,126,132,926,594,212
42,136,155,862,576,230
43,176,160,849,581,239
44,180,158,821,602,228
45,192,164,898,587,219
46,208,186,768,563,244
47,251,215,744,561,260
48,279,250,742,567,227
49,322,307,767,533,243
50,349,284,659,549,230
51,399,340,676,512,214
52,474,381,623,529,231
53,470,441,605,467,216
54,525,456,600,455,246
55,604,496,560,425,231
56,681,536,544,442,252
57,686,551,514,414,292
58,750,576,495,388,249
59,788,655,438,405,242
60,842,701,471,389,243
61,874,802,402,370,222
62,939,803,435,357,275
63,972,852,399,349,267
64,958,849,378,298,264
65,1070,870,369,300,252
66,1096,909,345,267,280
67,1171,984,318,270,273
68,1195,977,296,236,268
69,1230,1002,275,247,275
70,1220,1063,265,193,272
71,1140,1083,256,162,290
72,1216,1082,208,161,237
73,1208,1083,197,120,277
74,1209,1108,172,108,309
75,1270,1078,133,63,284
76,1280,1088,128,55,270
77,1128,1047,103,65,276
78,1175,1028,89,49,255
79,1126,967,83,33,236
80,1082,900,37,14,251
81,1052,868,23,15,232
82,986,781,28,13,225
83,935,780,15,9,209
84,841,694,13,6,170
85,743,557,7,3,179
86,651,496,3,3,168
87,578,403,4,1,142
88,528,391,1,3,111
89,392,268,1,,102
90,361,226,1,,74
91,311,191,,,73
92,254,154,,,58
93,170,112,,,63
94,139,85,,,39
95,86,37,,,32
96,82,39,,,16
97,42,26,,,12
98,33,19,,,12
99,14,8,,,6
100,17,9,,,6
101,9,8,,,4
102,5,2,,,4
103,4,2,,,1
104,2,2,,,
105,1,,,,
106,1,,,,
108,1,,,,
110,1,,,,
113,1,,,,
